"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url;Tabs:1
598027277642;;;;"ventilație>>>difuzoare cu fante";"Ventilație AERROLL";;;https://static.tildacdn.com/stor6133-3239-4362-a164-313332383964/0ffc71065cbc6276439f04f9b1da140a.png;;;;;;aerroll_z;;0;0;0;0;https://alumineu.ro/produse/ventilatie/difuzoare-cu-fante/aerroll;
524475509742;;;;;"Ventilație AERROLL - Z007 - negru mat";;;;781.93;18;;"lungime:Z007;culoare:negru mat";;KKdTYiB5ilH9EwahKpKah0;598027277642;0;0;0;0;https://alumineu.ro/produse/ventilatie/difuzoare-cu-fante/aerroll?editionuid=524475509742;
766815740002;;;;;"Ventilație AERROLL - Z010 - negru mat";;;;993.98;18;;"lungime:Z010;culoare:negru mat";;ARWzP670jnmjJZpK5JsEU1;598027277642;0;0;0;0;https://alumineu.ro/produse/ventilatie/difuzoare-cu-fante/aerroll?editionuid=766815740002;
409179818542;;;;;"Ventilație AERROLL - Z014 - negru mat";;;;1060.24;18;;"lungime:Z014;culoare:negru mat";;xP5AwirJg8GaTPI5ZRvbx2;598027277642;0;0;0;0;https://alumineu.ro/produse/ventilatie/difuzoare-cu-fante/aerroll?editionuid=409179818542;
101987312642;;;;"profile cu clemă>>>cornișe";"Profil TISSURE Z405";"profil patentat TISSURE Z405® pentru realizarea nișelor ascunse pentru draperii cu două caneluri pentru agățarea perdelelor și draperiilor în tavanele extensibile din țesătură, iluminat.";;"https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png https://static.tildacdn.com/stor6364-3265-4462-b063-643231393863/56824560.png";;;;;;tissure_z405;;0;0;0;0;https://alumineu.ro/produse/profile-cu-clema/cornise/tissure-z405;
481044407772;;;;;"Profil TISSURE Z405 - alb mat - 3,2 m.l.";;;https://static.tildacdn.com/stor6364-3265-4462-b063-643231393863/56824560.png;371.08;;;"culoare:alb mat;lungime:3,2 m.l.";;Zroo3n3djONt0OopEffYs1;101987312642;0;0;0;0;https://alumineu.ro/produse/profile-cu-clema/cornise/tissure-z405?editionuid=481044407772;
322544497102;;;;;"Profil TISSURE Z405 - negru mat - 3,2 m.l.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;371.08;;;"culoare:negru mat;lungime:3,2 m.l.";;ASFuUxWDgOBWCHN5ODymF1;101987312642;0;0;0;0;https://alumineu.ro/produse/profile-cu-clema/cornise/tissure-z405?editionuid=322544497102;
788646348982;;;;"profile cu clemă>>>dublu nivel";"Profil UNITEXA Z701";"profil patentat UNITEXA Z701® pentru realizarea nișelor de tavan și a corpurilor de iluminat în tavanele extensibile din țesătură.";;"https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png https://static.tildacdn.com/stor6364-3265-4462-b063-643231393863/56824560.png";;;;;;unitexa_z701;;0;0;0;0;https://alumineu.ro/produse/profile-cu-clema/dublu-nivel/unitexa-z701;
142075302762;;;;;"Profil UNITEXA Z701 - alb mat - 2,0 m.l.";;;https://static.tildacdn.com/stor6364-3265-4462-b063-643231393863/56824560.png;71.57;;;"culoare:alb mat;lungime:2,0 m.l.";;SQKcK9vigikWY0Agh6ZSX0;788646348982;0;0;0;0;https://alumineu.ro/produse/profile-cu-clema/dublu-nivel/unitexa-z701?editionuid=142075302762;
904775031772;;;;;"Profil UNITEXA Z701 - negru mat - 2,0 m.l.";;;https://static.tildacdn.com/stor6262-3964-4433-a330-363230316365/42449150.png;71.57;;;"culoare:negru mat;lungime:2,0 m.l.";;zSQvbSNEiHa6S1KQEwaCY2;788646348982;0;0;0;0;https://alumineu.ro/produse/profile-cu-clema/dublu-nivel/unitexa-z701?editionuid=904775031772;
558739558982;;;;"profile cu clemă>>>luminoase";"Profil LUMNOVA Z008";"profil patentat LUMNOVA Z008® pentru crearea liniilor de lumină în tavanele extensibile din țesătură.";;https://static.tildacdn.com/stor3161-3863-4366-a466-666366666439/29601077.png;;;;;;lumnova_z008;;0;0;0;0;https://alumineu.ro/produse/profile-cu-clema/luminosi/lumnova-z008;
951728721442;;;;;"Profil LUMNOVA Z008 - negru mat - 2,0 m.l.";;;;106.02;;;"culoare:negru mat;lungime:2,0 m.l.";;eSviEBM8guhlvQefni07r1;558739558982;0;0;0;0;https://alumineu.ro/produse/profile-cu-clema/luminosi/lumnova-z008?editionuid=951728721442;
